State,Oct-14,Nov-14,Dec-14,Jan-15,Feb-15,Mar-15,Apr-15,May-15,Jun-15,Jul-15,Aug-15,Sep-15,Oct-15,Nov-15,Dec-15,Jan-16,Feb-16,Mar-16,Apr-16,May-16,Jun-16,Jul-16,Aug-16,Sep-16,Oct-16,Nov-16,Dec-16,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19,Nov-19,Dec-19,Jan-20,Feb-20,Mar-20,Apr-20,May-20,Jun-20,Jul-20,Aug-20,Sep-20,Oct-20,Nov-20,Dec-20,Jan-21,Feb-21,Mar-21,Apr-21,May-21,Jun-21,Jul-21,Aug-21,Sep-21,Oct-21,Nov-21,Dec-21,Jan-22,Feb-22,Mar-22,Apr-22,May-22,Jun-22,Jul-22,Aug-22,Sep-22,Oct-22,Nov-22,Dec-22,Jan-23,Feb-23,Mar-23,Apr-23,May-23,Jun-23,Jul-23,Aug-23,Sep-23,Oct-23,Nov-23,Dec-23,Jan-24,Feb-24,Mar-24,Apr-24,May-24,Jun-24,Jul-24,Aug-24,Sep-24,Oct-24
Alabama,6.4,6.3,6.2,6.1,6.1,6.1,6.1,6.1,6.2,6.2,6.2,6.1,6.1,6.1,6.1,6.1,6,6,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.8,5.7,5.5,5.2,5,4.8,4.6,4.4,4.3,4.2,4.1,4,4,4,4,4,4,4,4,4,4,3.9,3.9,3.9,3.8,3.8,3.7,3.6,3.4,3.3,3.1,3,3,3,3,3,3,3.1,3.2,3.3,3.4,13.8,10.4,8.6,7.5,6.3,5.9,5.2,4.8,4.5,4.2,3.9,3.8,3.7,3.5,3.5,3.3,3.2,3,2.9,2.8,2.7,2.6,2.6,2.6,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.4,2.4,2.3,2.3,2.3,2.3,2.3,2.4,2.5,2.7,2.8,2.8,2.8,2.9,3,3,3.1,3,2.9,2.8,2.8,2.9,2.9
Alaska,6.5,6.4,6.3,6.2,6.3,6.3,6.3,6.3,6.3,6.2,6.2,6.2,6.3,6.3,6.4,6.4,6.5,6.5,6.5,6.6,6.6,6.6,6.7,6.7,6.7,6.7,6.7,6.6,6.6,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.4,6.4,6.3,6.2,6.1,6,5.9,5.9,5.9,5.9,5.9,6,6,6,5.9,5.8,5.7,5.6,5.6,5.6,5.6,5.5,5.4,5.3,5.3,5.4,5.5,5.5,11.7,11.8,11.2,11.1,8.6,7.9,7.3,7.1,7.1,7,7,7,7,6.8,6.8,6.4,6.2,5.9,5.7,5.5,5.3,5.2,4.8,4.5,4.3,4.2,4.1,4,3.8,3.9,4,4,4,3.9,3.9,3.8,3.9,4,4.1,4.3,4.4,4.5,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.5,4.5,4.5,4.6,4.5,4.6
Arizona,6.6,6.5,6.4,6.4,6.3,6.2,6.2,6.1,6.1,6.1,6,6,5.9,5.8,5.8,5.7,5.6,5.6,5.6,5.5,5.5,5.5,5.4,5.4,5.4,5.3,5.3,5.2,5.2,5.1,5,5,4.9,4.9,4.8,4.9,4.9,4.9,4.9,4.9,4.8,4.8,4.7,4.7,4.7,4.7,4.7,4.8,4.9,5,5,5,5,4.9,4.8,4.8,4.8,4.8,4.8,4.7,4.7,4.7,4.7,4.8,4.8,4.9,13.8,11.2,9.8,8.9,7.9,7.5,7,6.7,6.6,6.4,6.2,6,5.8,5.5,5.3,5,4.6,4.3,4.1,3.9,3.7,3.7,3.6,3.6,3.6,3.7,3.7,3.8,3.9,4,4,3.9,3.8,3.7,3.7,3.6,3.6,3.7,3.8,3.9,4.1,4.2,4.2,4.2,4.2,4.2,4.1,3.8,3.6,3.4,3.3,3.4,3.4,3.5,3.6
Arkansas,5.6,5.6,5.5,5.5,5.4,5.4,5.3,5.2,5.1,4.9,4.8,4.6,4.5,4.4,4.3,4.2,4.1,4,4,4,4,4,4,3.9,3.9,3.9,3.8,3.8,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.8,3.8,3.8,3.8,3.8,3.8,3.7,3.7,3.6,3.6,3.5,3.5,3.6,3.7,3.7,3.7,3.7,3.6,3.5,3.4,3.4,3.4,3.4,3.5,3.5,3.5,3.5,3.5,3.5,3.6,4.9,10.1,8.9,7.9,7.3,6.4,6,5.4,5.2,5,4.9,4.8,4.7,4.5,4.4,4.2,3.9,3.7,3.5,3.4,3.3,3.2,3.2,3.2,3.2,3.1,3.2,3.2,3.2,3.3,3.3,3.3,3.2,3.1,3,2.9,2.8,2.8,2.9,3,3.2,3.4,3.6,3.7,3.7,3.7,3.7,3.6,3.5,3.4,3.4,3.3,3.3,3.3,3.3,3.3
California,7.2,7.1,6.9,6.8,6.7,6.6,6.5,6.4,6.3,6.2,6,5.9,5.8,5.8,5.7,5.7,5.6,5.6,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.4,5.4,5.2,5.1,5,5,4.9,4.9,4.8,4.8,4.7,4.6,4.5,4.5,4.4,4.3,4.3,4.2,4.2,4.2,4.2,4.2,4.2,4.3,4.3,4.3,4.3,4.3,4.2,4.1,4,4,4,4,4,4,4.1,4.2,4.3,4.4,5.5,16.1,15.8,13.8,13.2,11.9,10,9.3,9,9,8.7,8.6,8.4,8.3,7.9,7.8,7.4,7,6.5,6.1,5.7,5.5,5.2,4.8,4.4,4.2,4.1,4,3.9,3.8,4,4.2,4.3,4.4,4.5,4.5,4.5,4.5,4.5,4.6,4.7,4.8,5,5.1,5.1,5.1,5.2,5.3,5.3,5.3,5.2,5.2,5.2,5.3,5.3,5.4
Colorado,4.4,4.3,4.2,4.1,4.1,4.1,4,3.9,3.8,3.7,3.6,3.5,3.4,3.4,3.3,3.3,3.3,3.3,3.3,3.3,3.2,3.2,3.1,3,3,2.9,2.7,2.6,2.5,2.4,2.4,2.4,2.5,2.6,2.7,2.8,2.8,2.8,2.8,2.9,2.9,2.9,3,3,3.1,3.1,3.1,3.2,3.2,3.1,3.1,3,2.9,2.8,2.6,2.6,2.5,2.5,2.5,2.5,2.6,2.7,2.8,3,3.2,3.3,11.2,11.7,11.2,6.5,6.2,6.3,6.2,6.2,6.4,6.3,6.3,6.2,6.2,5.9,5.9,5.6,5.3,4.9,4.6,4.4,4.2,4,3.6,3.3,3.1,3,2.8,2.7,2.6,2.8,2.9,3,3,3,3,3,3,3.1,3.1,3.2,3.2,3.3,3.3,3.3,3.3,3.4,3.5,3.7,3.7,3.8,3.8,3.9,4,4,4.1
Connecticut,6.3,6.2,6.1,6,5.9,5.8,5.8,5.7,5.6,5.6,5.5,5.4,5.4,5.4,5.3,5.2,5.2,5.1,5,4.9,4.9,4.8,4.7,4.7,4.7,4.6,4.6,4.6,4.5,4.5,4.5,4.4,4.4,4.4,4.4,4.4,4.3,4.3,4.3,4.2,4.1,4.1,4,3.9,3.9,3.8,3.8,3.7,3.7,3.7,3.7,3.7,3.6,3.6,3.5,3.5,3.5,3.5,3.6,3.6,3.6,3.7,3.7,3.8,3.8,3.9,8.3,11.8,11.5,11.7,9.6,8.8,7.9,7.5,7.4,7.1,7.1,7,7.1,6.9,6.8,6.5,6.2,5.9,5.6,5.3,5.1,4.9,4.6,4.4,4.3,4.1,4,3.9,3.8,3.8,3.8,3.8,3.7,3.6,3.5,3.4,3.3,3.3,3.4,3.6,3.8,4,4.2,4.2,4.2,4.4,4.5,4.5,4.4,4.3,3.9,3.6,3.4,3.2,3
Delaware,5.3,5.2,5.1,5,4.9,4.9,4.9,4.9,4.8,4.8,4.7,4.7,4.7,4.6,4.6,4.5,4.5,4.4,4.4,4.4,4.5,4.5,4.5,4.6,4.6,4.7,4.7,4.7,4.6,4.6,4.6,4.5,4.5,4.5,4.4,4.4,4.3,4.3,4.2,4.1,4,3.9,3.8,3.8,3.7,3.6,3.6,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,5,13.1,13.4,12.7,7.5,7.3,7.5,5.1,5.3,5.6,5.7,5.8,5.9,5.9,5.9,5.8,5.6,5.4,5.2,5,4.8,4.7,4.6,4.4,4.3,4.2,4.2,4.2,4.1,4.1,4.2,4.2,4.2,4.1,4.1,4,3.9,3.8,3.8,3.9,3.9,4,4.1,4.1,4.1,4.1,4.1,4,3.9,3.9,3.9,4,4.1,4.2,4.2,4
District of Columbia,7.6,7.5,7.4,7.4,7.3,7.2,7.2,7,6.9,6.8,6.8,6.7,6.6,6.6,6.5,6.4,6.3,6.2,6.1,6.1,6.1,6.2,6.2,6.3,6.3,6.3,6.3,6.3,6.2,6.2,6.2,6.2,6.1,6.1,6.1,6,6,5.9,5.9,5.9,5.8,5.8,5.8,5.7,5.6,5.5,5.5,5.5,5.6,5.7,5.8,5.9,5.9,5.8,5.7,5.6,5.4,5.4,5.3,5.2,5.2,5.2,5.4,5.5,5.7,5.8,11.2,8.8,8.6,8.6,8.4,8.4,8.1,7.9,7.7,7.3,7.1,7,7.1,7.1,7.3,7.1,7,6.6,6.5,6.3,6.1,6,5.6,5.2,4.9,4.7,4.4,4.2,4,4.2,4.4,4.6,4.8,4.9,5,5,4.9,4.8,4.8,4.7,4.8,4.9,4.9,4.9,4.9,5,5.1,5.2,5.2,5.3,5.4,5.5,5.7,5.7,5.7
Florida,6.1,6,6,5.9,5.8,5.8,5.7,5.7,5.6,5.5,5.4,5.3,5.3,5.2,5.1,5.1,5,5,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.8,4.8,4.7,4.6,4.5,4.4,4.3,4.3,4.2,4.2,4.2,4.1,4.1,4,3.9,3.9,3.8,3.8,3.7,3.6,3.6,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.4,3.3,3.3,3.3,3.2,3.2,3.2,3.1,3,3,3,3,4.1,13.4,14.2,11.8,11.8,8.8,8.1,7.1,6.6,6.4,5.9,5.6,5.4,5.2,4.9,4.9,4.6,4.4,4.1,3.9,3.8,3.6,3.5,3.3,3.2,3.1,3,2.9,2.8,2.8,2.8,2.9,2.8,2.8,2.8,2.8,2.8,2.7,2.8,2.8,2.9,3,3,3.1,3.1,3.1,3.1,3.1,3.2,3.3,3.3,3.3,3.3,3.3,3.3,3.3
Georgia,6.8,6.7,6.6,6.5,6.4,6.3,6.3,6.2,6.1,6,5.9,5.9,5.8,5.8,5.7,5.7,5.7,5.6,5.5,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.3,5.2,5.1,5,4.9,4.8,4.8,4.7,4.6,4.6,4.5,4.5,4.4,4.3,4.2,4.1,4.1,4,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.8,3.8,3.7,3.6,3.6,3.6,3.5,3.5,3.5,3.4,3.4,3.5,3.5,3.6,3.7,12.4,9.8,8.4,7.6,6.7,6.4,5.5,5.3,5.1,4.8,4.6,4.4,4.3,4.1,4,3.9,3.7,3.5,3.4,3.3,3.2,3.1,3.1,3,3,3,3.1,3.1,3.2,3.2,3.3,3.3,3.3,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.1,3.1,3.1,3.1,3.2,3.3,3.4,3.6,3.6,3.6
Hawaii,4,3.9,3.9,3.8,3.8,3.7,3.6,3.5,3.4,3.3,3.3,3.2,3.2,3.1,3.1,3,3,3,3,3,2.9,2.9,2.9,2.8,2.8,2.7,2.7,2.6,2.6,2.5,2.5,2.4,2.3,2.1,2,1.9,1.9,1.9,1.9,2.1,2.1,2.2,2.2,2.3,2.4,2.4,2.5,2.6,2.6,2.7,2.8,2.8,2.7,2.7,2.6,2.6,2.5,2.5,2.4,2.4,2.4,2.3,2.3,2.2,2.2,2.1,22.5,20.8,17.4,15.6,13.1,13.4,11.4,10.6,10.2,9.5,9.1,8.4,7.7,6.8,6.3,5.4,4.7,4,3.3,3.2,3.1,3.1,3.2,3.2,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.2,3.1,3,2.9,2.9,2.8,2.8,2.8,2.9,3,3,3,3,3.1,3.1,3.1,3.1,3,2.9,2.9,2.9,2.9,2.9
Idaho,4,3.9,3.9,3.8,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.8,3.8,3.8,3.8,3.8,3.7,3.7,3.7,3.7,3.7,3.7,3.6,3.6,3.6,3.5,3.5,3.4,3.3,3.2,3.2,3.1,3.1,3.2,3.2,3.2,3.1,3.1,3,2.9,2.9,2.8,2.8,2.8,2.8,2.8,2.8,2.9,3,3,3,3,2.9,2.9,2.8,2.8,2.9,2.9,2.9,2.9,2.8,2.8,2.8,2.8,2.7,11.8,9.1,7.5,6.6,5.4,5,4.4,4.2,4.2,4.1,4.1,4,3.9,3.7,3.6,3.5,3.4,3.3,3.1,3,2.9,2.8,2.7,2.7,2.7,2.7,2.8,2.9,2.9,3,3,3,2.9,2.9,2.9,2.9,2.9,2.9,3,3.1,3.2,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.4,3.5,3.5,3.6,3.7
Illinois,6.5,6.3,6.2,6.1,6.1,6,6,6,6,5.9,5.9,5.9,5.9,6,6.1,6.2,6.2,6.2,6.1,6,5.9,5.8,5.8,5.7,5.7,5.6,5.4,5.3,5.1,5,4.9,4.9,4.9,5,5,4.9,4.9,4.8,4.7,4.6,4.5,4.4,4.3,4.3,4.2,4.3,4.3,4.4,4.4,4.5,4.6,4.6,4.5,4.4,4.2,4,3.8,3.8,3.7,3.7,3.7,3.6,3.6,3.7,3.9,5.1,18.1,14.7,12.6,11.4,9.7,9,8.1,7.8,7.6,7.2,7,6.8,6.7,6.5,6.4,6.2,5.9,5.5,5.2,5,4.8,4.7,4.7,4.6,4.5,4.5,4.5,4.5,4.5,4.6,4.6,4.6,4.5,4.4,4.3,4.2,4.2,4.2,4.3,4.4,4.6,4.7,4.8,4.7,4.7,4.7,4.8,4.8,4.8,4.9,5,5.2,5.3,5.3,5.3
Indiana,5.7,5.6,5.5,5.4,5.2,5.1,4.9,4.8,4.7,4.6,4.6,4.5,4.5,4.5,4.6,4.6,4.6,4.6,4.6,4.5,4.4,4.4,4.3,4.2,4.1,4.1,4,3.8,3.7,3.5,3.4,3.4,3.4,3.5,3.5,3.5,3.5,3.4,3.3,3.3,3.3,3.3,3.4,3.4,3.4,3.4,3.5,3.5,3.5,3.6,3.6,3.5,3.5,3.4,3.3,3.2,3.2,3.2,3.2,3.3,3.3,3.3,3.3,3.3,3.4,3.5,16.8,12.5,10.3,8.9,7.2,6.5,5.6,5.2,5,4.7,4.6,4.5,4.4,4.2,4.1,3.9,3.7,3.5,3.3,3.1,3,2.9,2.9,2.8,2.9,2.9,3,3.1,3.2,3.2,3.3,3.3,3.3,3.2,3.2,3.2,3.2,3.2,3.3,3.4,3.4,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.6,3.7,3.8,4,4.2,4.3,4.4
Iowa,4.1,4,3.9,3.9,3.8,3.8,3.8,3.7,3.7,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.7,3.6,3.6,3.6,3.5,3.5,3.4,3.3,3.2,3.2,3.1,3.1,3.1,3.1,3,3,2.9,2.9,2.8,2.8,2.7,2.6,2.6,2.5,2.5,2.5,2.5,2.5,2.5,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.7,2.7,2.8,2.7,2.7,2.7,2.7,2.7,2.6,11,8.4,6.8,5.9,5,4.6,4.3,4.2,4.2,4.2,4.2,4.3,4.3,4.3,4.2,4,3.8,3.6,3.3,3.1,2.9,2.7,2.6,2.5,2.5,2.6,2.7,2.8,3,3.1,3.1,3.1,3,2.9,2.9,2.8,2.8,2.8,2.9,3,3.1,3.1,3.1,3.1,3,3,3,2.9,2.8,2.8,2.8,2.8,2.9,2.9,3
Kansas,4.3,4.3,4.3,4.3,4.4,4.4,4.4,4.3,4.2,4.1,4,4,3.9,3.9,3.9,3.9,3.9,3.9,4,4,4,4.1,4.1,4.1,4.1,4.1,4,3.9,3.8,3.7,3.6,3.6,3.6,3.6,3.6,3.6,3.5,3.5,3.4,3.5,3.4,3.4,3.4,3.3,3.3,3.3,3.3,3.3,3.3,3.4,3.4,3.3,3.3,3.2,3.2,3.2,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,12.1,9.1,7.4,6.7,5.8,5.4,4.9,4.7,4.4,4,3.8,3.7,3.6,3.6,3.5,3.4,3.3,3.1,2.9,2.7,2.6,2.5,2.5,2.5,2.5,2.5,2.6,2.6,2.7,2.7,2.8,2.8,2.8,2.8,2.8,2.7,2.7,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.7,2.7,2.8,2.9,3,3.2,3.3,3.3,3.4
Kentucky,5.7,5.5,5.4,5.3,5.3,5.3,5.3,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.1,5.1,5,4.9,4.9,4.9,5,5,5.1,5.1,5.1,5.1,5,5,5,4.9,4.9,4.8,4.8,4.6,4.5,4.4,4.3,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4,4,4,4.1,4.1,4.2,16.8,12.8,5.3,5.8,5.2,5,4.8,4.8,4.7,4.6,4.6,4.6,4.6,4.5,4.6,4.6,4.5,4.4,4.3,4.2,4.1,4,4,3.9,3.9,4,4,4,4.1,4.1,4.1,4.1,4.1,4.1,4,4,4,4.1,4.1,4.2,4.2,4.3,4.3,4.3,4.3,4.3,4.4,4.5,4.6,4.6,4.6,4.7,4.8,4.9,5
Louisiana,6.8,6.8,6.8,6.8,6.7,6.6,6.5,6.4,6.3,6.1,6.1,6,6,6,6,6,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6,5.9,5.8,5.7,5.5,5.4,5.2,5.1,4.9,4.8,4.8,4.7,4.7,4.7,4.7,4.7,4.8,4.9,4.9,4.9,4.9,4.9,4.8,4.8,4.8,4.8,4.7,4.6,4.5,4.4,4.4,4.4,4.6,4.7,4.8,4.8,4.8,4.8,4.8,4.7,6.7,13.5,12.3,11,10.4,9.2,8.7,8,7.6,7.4,7,6.8,6.6,6.4,6.1,5.9,5.5,5.2,4.8,4.5,4.3,4.1,4,3.8,3.7,3.6,3.6,3.5,3.5,3.5,3.6,3.6,3.6,3.6,3.7,3.6,3.5,3.4,3.4,3.3,3.4,3.6,3.8,4,4,4,4.1,4.2,4.4,4.3,4.1,4,3.9,3.9,3.9,4.1
Maine,5.2,5.2,5,4.9,4.8,4.7,4.6,4.5,4.4,4.3,4.2,4.1,4.1,4,4,4,3.9,3.9,3.9,3.8,3.8,3.8,3.7,3.7,3.7,3.6,3.5,3.5,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.3,3.2,3.1,3.1,3,3,3,3.1,3.2,3.3,3.3,3.3,3.3,3.3,3.2,3.1,3,2.9,2.8,2.7,2.7,2.8,2.8,2.9,3,3.1,3.1,3.2,3.2,3.2,9.3,9.5,6.6,6.3,4.2,4,3.8,3.9,4.2,4.4,4.7,4.9,5.1,5,5.1,4.9,4.8,4.6,4.4,4.2,3.9,3.7,3.3,3,2.8,2.7,2.6,2.6,2.5,2.7,2.8,2.8,2.7,2.5,2.4,2.4,2.4,2.5,2.6,2.8,3,3.2,3.4,3.4,3.4,3.4,3.4,3.3,3.1,3,2.8,2.8,2.8,2.8,2.9
Maryland,5.5,5.5,5.4,5.4,5.3,5.3,5.2,5.1,5,4.9,4.9,4.8,4.7,4.7,4.6,4.5,4.4,4.3,4.3,4.3,4.3,4.2,4.2,4.3,4.3,4.2,4.2,4.1,4,4,3.9,3.9,3.9,4,4,4,4.1,4.1,4,4.1,4,4,3.9,3.8,3.8,3.7,3.7,3.7,3.7,3.7,3.7,3.6,3.5,3.5,3.4,3.4,3.3,3.4,3.4,3.3,3.3,3.2,3.2,3.3,3.4,3.4,9,8.8,8.1,7.8,7.1,7,6.6,6.5,6.6,6.3,6.2,6.1,5.9,5.7,5.7,5.3,5.1,4.6,4.3,3.9,3.6,3.5,3.3,3.1,3,3,3,3,3,2.9,2.8,2.7,2.5,2.4,2.2,2,1.9,1.9,1.9,1.9,2.1,2.2,2.3,2.2,2.2,2.3,2.4,2.5,2.6,2.7,2.8,2.8,2.9,2.9,3
Massachusetts,5.5,5.4,5.2,5.2,5.1,5,5,4.9,4.8,4.7,4.7,4.6,4.6,4.5,4.4,4.4,4.3,4.2,4.1,4.1,4,3.9,3.9,3.9,3.9,3.9,3.9,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.7,3.7,3.7,3.6,3.6,3.5,3.5,3.4,3.4,3.4,3.3,3.3,3.3,3.2,3.2,3.1,3.1,3,3,3,3,3,2.9,2.9,2.9,3,3,3,17.4,14.9,14.5,12.6,10.4,9.7,8.5,7.9,7.6,6.9,6.5,6.2,6.1,5.7,5.7,5.3,5.1,4.7,4.5,4.2,3.9,3.9,3.8,3.6,3.6,3.7,3.6,3.6,3.7,3.6,3.7,3.6,3.5,3.5,3.6,3.5,3.2,3.3,3.3,3.2,3.3,3.3,3.4,3.3,3.2,3,2.9,2.9,2.9,3,3.2,3.5,3.7,3.8,3.9
Michigan,6.6,6.4,6.2,6,5.9,5.8,5.7,5.6,5.5,5.4,5.2,5.1,5,5,4.9,4.9,4.9,5,5,5,5,5,5,5.1,5.1,5.1,5,4.8,4.7,4.5,4.3,4.3,4.4,4.5,4.6,4.7,4.8,4.7,4.6,4.5,4.4,4.3,4.1,4,4,4,4,4.1,4.1,4.2,4.2,4.2,4.2,4.2,4.2,4.1,4.1,4.1,4.1,4,3.9,3.8,3.7,3.7,3.7,3.7,22.6,19.2,14.5,12.5,10,8.9,7.7,7.1,7,6.5,6.3,6.2,6.2,6.2,6.2,6,5.8,5.4,5.1,4.8,4.5,4.4,4.3,4.2,4.1,4,4,4,4,4.1,4.2,4.2,4.1,4,3.8,3.7,3.6,3.6,3.7,3.8,4,4.1,4.2,4.1,4.1,4,3.9,3.9,3.9,3.9,4.1,4.4,4.5,4.5,4.7
Minnesota,4,3.9,3.9,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.7,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.9,3.9,4,4,4,3.9,3.8,3.7,3.6,3.5,3.5,3.5,3.4,3.4,3.4,3.4,3.3,3.3,3.1,3.1,3,3,2.9,2.9,2.9,2.9,3,3.1,3.2,3.2,3.3,3.3,3.3,3.2,3.2,3.2,3.2,3.3,3.3,3.3,3.3,3.4,3.4,3.5,3.6,8.9,11.2,8.9,7.9,6.7,6.1,5.4,5,4.8,4.4,4.2,4.1,4,3.9,3.8,3.7,3.6,3.4,3.3,3.1,2.9,2.7,2.5,2.4,2.3,2.3,2.3,2.4,2.5,2.7,2.7,2.8,2.8,2.8,2.8,2.8,2.8,2.9,2.9,3,2.9,2.8,2.8,2.7,2.7,2.7,2.7,2.7,2.7,2.8,2.9,3.2,3.3,3.4,3.4
Mississippi,7.2,7.1,6.9,6.8,6.7,6.7,6.6,6.5,6.4,6.3,6.3,6.3,6.4,6.4,6.4,6.3,6.2,6.1,6,6,5.9,5.9,5.9,5.9,5.9,5.8,5.7,5.6,5.5,5.4,5.4,5.3,5.3,5.2,5.2,5.1,5,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.8,4.8,4.9,4.9,5.1,5.2,5.3,5.4,5.4,5.4,5.4,5.4,5.5,5.6,5.7,5.6,5.6,5.5,5.5,5.6,5.8,5.9,15.6,11.2,9.4,8.3,7.4,7.1,6.8,6.7,6.6,6.5,6.3,6.2,6.1,5.9,5.7,5.5,5.2,4.9,4.6,4.4,4.2,4.1,3.9,3.8,3.7,3.7,3.7,3.7,3.8,3.8,3.8,3.8,3.6,3.5,3.3,3.2,3.1,3.1,3.1,3.1,3.2,3.2,3.2,3.2,3.2,3.2,3.1,3,2.8,2.8,2.8,2.7,2.7,2.8,2.9
